filename,htmlSegmentCount,notionSegmentCount,missingCount,extraCount,totalMissingChars,totalExtraChars,firstMissing,firstExtra
"activate-procurement-failure-2025-12-10T08-55-13.html",151,0,1,0,1063,0,"You can activate the Procurement plugin that provides core procurement capabilities. Before you begin Role required: procurement_admin, procurement_user Procedure Navigate to All > System Applications",""
"add-a-configuration-item-to-a-contract-failure-2025-12-10T08-48-00.html",89,0,1,0,561,0,"Contracts can be associated with configuration items. You can link a contract with configuration items to clarify what the contract legally covers. Before you begin Role required: admin or contract_ma",""
"add-a-document-to-a-contract-failure-2025-12-10T08-48-35.html",221,0,1,0,1374,0,"Contracts can be associated with documents. Linking a contract to related documents helps keep all relevant information about a contract together and easily accessible. Before you begin Role required:",""
"add-a-user-or-asset-to-a-contract-2025-12-10T08-51-28.html",234,0,1,0,1432,0,"You can add a user or asset to a contract to generate expense lines. Before you begin Role required: asset, financial_mgmt_user (core UI and Hardware Asset Workspace only), contract_manager (core UI a",""
"add-a-user-or-asset-to-a-contract-failure-2025-12-10T08-51-27.html",234,0,1,0,1432,0,"You can add a user or asset to a contract to generate expense lines. Before you begin Role required: asset, financial_mgmt_user (core UI and Hardware Asset Workspace only), contract_manager (core UI a",""
"add-a-user-to-a-contract-failure-2025-12-10T08-48-05.html",121,0,1,0,694,0,"A contract can cover specific users. For example, you may use a contract to hire a group of temporary workers. Before you begin Role required: contract_manager or admin Procedure Navigate to Contract ",""
"add-an-asset-to-a-contract-failure-2025-12-10T08-48-02.html",263,0,1,0,1607,0,"You can associate contracts with specific assets, including software licenses. Before you begin Role required: admin, contract_manager (core UI and Hardware Asset Workspace only), sn_eam.enterprise_ad",""
"add-an-assignment-from-a-request-failure-2025-12-10T08-57-32.html",225,0,1,0,1385,0,"You can add assignments directly from a request to source rights from software licenses. Before you beginRole required: procurement_admin or procurement_user Procedure Navigate to All > Procurement > ",""
"add-or-remove-entitlements-for-a-contract-renewal-failure-2025-12-10T08-46-06.html",251,0,1,0,1675,0,"Add or remove software entitlements that you want to include in the contract renewal process by using the Software assets selection task. You can also view the entitlements carried over to the new con",""
"add-rate-cards-to-the-new-contract-failure-2025-12-10T08-46-00.html",151,0,1,0,893,0,"Add rate card details to the new contract by using the Rate cards task to track contract expenses. Before you begin The Cost Management (com.snc.cost_management) plugin must be active. Role required: ",""
"add-terms-and-conditions-to-a-contract-2025-12-10T08-50-52.html",316,0,1,0,1929,0,"After you create a terms and conditions record, add the record to a contract that is in the Awaiting Review, Rejected, Renewal Rejected, or Extension Rejected substate. Before you begin Role required:",""
"add-terms-and-conditions-to-a-contract-failure-2025-12-10T08-50-50.html",316,0,1,0,1929,0,"After you create a terms and conditions record, add the record to a contract that is in the Awaiting Review, Rejected, Renewal Rejected, or Extension Rejected substate. Before you begin Role required:",""
"approve-or-reject-a-contract-failure-2025-12-10T08-49-07.html",296,0,1,0,1800,0,"If you are the contract manager, you can approve or reject a contract. Before you begin Role required: admin, contract_manager (core UI and Hardware Asset Workspace only), sn_eam.enterprise_admin (Ent",""
